STATION,NAME,DATE,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN
USC00042706,"EL CAJON, CA US",8/15/2006,,0,0,0,89,63
USC00042706,"EL CAJON, CA US",8/16/2006,,0,0,0,89,62
USC00042706,"EL CAJON, CA US",8/17/2006,,0,0,0,89,61
USC00042706,"EL CAJON, CA US",8/18/2006,,0,0,0,90,62
USC00042706,"EL CAJON, CA US",8/19/2006,,0,0,0,89,62
USC00042706,"EL CAJON, CA US",8/20/2006,,0,0,0,86,62
USC00042706,"EL CAJON, CA US",8/21/2006,,0,0,0,88,69
USC00042706,"EL CAJON, CA US",8/22/2006,,0,0,0,91,64
USC00042706,"EL CAJON, CA US",8/23/2006,,0,0,0,97,64
USC00042706,"EL CAJON, CA US",8/24/2006,,0,0,0,96,67
USC00042706,"EL CAJON, CA US",8/25/2006,,0,0,0,96,62
USC00042706,"EL CAJON, CA US",8/26/2006,,0,0,0,96,60
USC00042706,"EL CAJON, CA US",8/27/2006,,0,0,0,96,75
USC00042706,"EL CAJON, CA US",8/28/2006,,0,0,0,96,75
USC00042706,"EL CAJON, CA US",8/29/2006,,0,0,0,92,62
USC00042706,"EL CAJON, CA US",8/30/2006,,0,0,0,91,63
USC00042706,"EL CAJON, CA US",8/31/2006,,0,0,0,95,61
USC00042706,"EL CAJON, CA US",9/1/2006,,0,0,0,96,61
USC00042706,"EL CAJON, CA US",9/2/2006,,0,0,0,98,61
USC00042706,"EL CAJON, CA US",9/3/2006,,0,0,0,100,61
USC00042706,"EL CAJON, CA US",9/4/2006,,0,0,0,100,60
USC00042706,"EL CAJON, CA US",9/5/2006,,0,0,0,103,61
USC00042706,"EL CAJON, CA US",9/6/2006,,0,0,0,102,61
USC00042706,"EL CAJON, CA US",9/7/2006,,0,0,0,,
USC00042706,"EL CAJON, CA US",9/8/2006,,0,0,0,102,61
USC00042706,"EL CAJON, CA US",9/9/2006,,0,0,0,102,60
USC00042706,"EL CAJON, CA US",9/10/2006,,0,0,0,,64
USC00042706,"EL CAJON, CA US",9/11/2006,,0,0,0,92,61
USC00042706,"EL CAJON, CA US",9/12/2006,,0,0,0,93,63
USC00042706,"EL CAJON, CA US",9/13/2006,,0,0,0,92,64
USC00042706,"EL CAJON, CA US",9/14/2006,,0,0,0,81,63
USC00042706,"EL CAJON, CA US",9/15/2006,,0,0,0,,
USC00042706,"EL CAJON, CA US",9/16/2006,,0,0,0,84,55
USC00042706,"EL CAJON, CA US",9/17/2006,,0,0,0,91,54
USC00042706,"EL CAJON, CA US",9/18/2006,,0,0,0,95,54
USC00042706,"EL CAJON, CA US",9/19/2006,,0,0,0,95,54
USC00042706,"EL CAJON, CA US",9/20/2006,,0,0,0,85,57
USC00042706,"EL CAJON, CA US",9/21/2006,,0,0,0,85,57
USC00042706,"EL CAJON, CA US",9/22/2006,,0,0,0,82,63
USC00042706,"EL CAJON, CA US",9/23/2006,,0,0,0,80,61
USC00042706,"EL CAJON, CA US",9/24/2006,,0,0,0,90,55
USC00042706,"EL CAJON, CA US",9/25/2006,,0,0,0,90,55
USC00042706,"EL CAJON, CA US",9/26/2006,,0,0,0,90,55
USC00042706,"EL CAJON, CA US",9/27/2006,,0,0,0,90,55
USC00042706,"EL CAJON, CA US",9/28/2006,,0,0,0,90,55
USC00042706,"EL CAJON, CA US",9/29/2006,,0,0,0,91,55
USC00042706,"EL CAJON, CA US",9/30/2006,,0,0,0,91,55
USC00042706,"EL CAJON, CA US",11/1/2006,,0,0,,78,54
USC00042706,"EL CAJON, CA US",11/2/2006,,0,0,0,,
USC00042706,"EL CAJON, CA US",11/3/2006,,0,0,0,84,51
USC00042706,"EL CAJON, CA US",11/4/2006,,0,0,0,84,51
USC00042706,"EL CAJON, CA US",11/5/2006,,0,0,0,91,50
USC00042706,"EL CAJON, CA US",11/6/2006,,0,0,0,93,50
USC00042706,"EL CAJON, CA US",11/7/2006,,0,0,0,93,57
USC00042706,"EL CAJON, CA US",11/8/2006,,0,0,0,93,53
USC00042706,"EL CAJON, CA US",11/9/2006,,0,0,0,72,58
USC00042706,"EL CAJON, CA US",11/10/2006,,0,0,0,83,51
USC00042706,"EL CAJON, CA US",11/11/2006,,0,0,0,,
USC00042706,"EL CAJON, CA US",11/12/2006,,0,0,0,,
USC00042706,"EL CAJON, CA US",11/13/2006,,0,0,0,83,43
USC00042706,"EL CAJON, CA US",11/14/2006,,0,0,0,73,52
USC00042706,"EL CAJON, CA US",11/15/2006,,0,0,0,,
USC00042706,"EL CAJON, CA US",11/16/2006,,0,0,0,86,46
USC00042706,"EL CAJON, CA US",11/17/2006,,0,0,0,86,46
USC00042706,"EL CAJON, CA US",11/18/2006,,0,0,0,87,46
USC00042706,"EL CAJON, CA US",11/19/2006,,0,0,0,95,50
USC00042706,"EL CAJON, CA US",11/20/2006,,0,0,0,90,49
USC00042706,"EL CAJON, CA US",11/21/2006,,0,0,0,90,48
USC00042706,"EL CAJON, CA US",11/22/2006,,0,0,0,78,46
USC00042706,"EL CAJON, CA US",11/23/2006,,0,0,0,72,53
USC00042706,"EL CAJON, CA US",11/24/2006,,0,0,0,71,56
